year,seriousviolent,injury,treatment,vicservices,locationr
2009,Yes,Injured,Treated,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Injured,Treated,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Injured,Not treated,No services recieved,Commercial
2009,Yes,Injured,Treated,Services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Injured,Not treated,No services recieved,Commercial
2009,Yes,Injured,Treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,Friendly location
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Friendly location
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,Services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,School
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Injured,Treated,No services recieved,Home
2009,Yes,Injured,Not treated,No services recieved,Commercial
2009,No,Injured,Not treated,No services recieved,Home
2009,No,Injured,Not treated,No services recieved,Home
2009,No,Injured,Not treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Friendly location
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Injured,Treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Injured,Treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,School
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,Services recieved,Home
2009,Yes,Not injured,Not injured,Services recieved,Commercial
2009,No,Injured,Not treated,No services recieved,Home
2009,Yes,Not injured,Not injured,Services recieved,Other
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Injured,Treated,No services recieved,Commercial
2009,Yes,Injured,Not treated,No services recieved,Friendly location
2009,Unknown,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Other
2009,No,Injured,Treated,No services recieved,Commercial
2009,Unknown,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Injured,Not treated,No services recieved,Commercial
2009,Yes,Injured,Treated,Services recieved,Home
2009,No,Not injured,Not injured,Services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Friendly location
2009,No,Not injured,Not injured,No services recieved,Other
2009,No,Injured,Treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Injured,Treated,Services recieved,Friendly location
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,Services recieved,Home
2009,No,Not injured,Not injured,No services recieved,School
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,Yes,Injured,Treated,No services recieved,Home
2009,Unknown,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Injured,Treated,No services recieved,Friendly location
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,Yes,Injured,Not treated,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Friendly location
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Other
2009,Unknown,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Injured,Not treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Injured,Treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Injured,Treated,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Injured,Treated,No services recieved,Commercial
2009,No,Injured,Treated,No services recieved,Home
2009,No,Injured,Treated,No services recieved,Home
2009,No,Injured,Treated,No services recieved,Home
2009,No,Injured,Treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Injured,Not treated,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Injured,Not treated,No services recieved,Commercial
2009,No,Not injured,Not injured,Services recieved,Home
2009,No,Not injured,Not injured,Services recieved,Home
2009,No,Not injured,Not injured,Services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Friendly location
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Other
2009,Yes,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Friendly location
2009,No,Injured,Treated,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Other
2009,No,Not injured,Not injured,No services recieved,Other
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Injured,Treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Injured,Not treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Injured,Not treated,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Injured,Not treated,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Injured,Not treated,No services recieved,Commercial
2009,Yes,Injured,Not treated,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,Yes,Injured,Not treated,Services recieved,Home
2009,Yes,Injured,Not treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,Yes,Injured,Treated,No services recieved,Friendly location
2009,No,Injured,Treated,Services recieved,Friendly location
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Injured,Treated,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,,Home
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,School
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Injured,Not treated,No services recieved,Home
2009,No,Injured,Not treated,Services recieved,Home
2009,No,Injured,Treated,,School
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,Services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Home
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,Unknown,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Home
2009,Yes,Injured,Not treated,No services recieved,Home
2009,Yes,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,Commercial
2009,No,Not injured,Not injured,No services recieved,School
2009,Yes,Injured,Treated,No services recieved,Friendly location
2009,No,Not injured,Not injured,No services recieved,Other
2009,Yes,Not injured,Not injured,Services recieved,Friendly location
2009,Yes,Injured,Treated,No services recieved,Home
2009,Yes,Injured,Treated,No services recieved,Commercial
2009,No,Injured,Not treated,No services recieved,Commercial
2009,Yes,Not injured,Not injured,No services recieved,Friendly location
2009,No,Not injured,Not injured,No services recieved,School
